FilePath,FileName,FaultType_Str,FaultSize_inch,Load_HP,RPM,SamplingFreq_Hz,BearingLocation,FaultType_Label
data\origin\12kHz_DE_data\B\0007\B007_0.mat,B007_0.mat,B,0.007,0,1796,12000,DE,3
data\origin\12kHz_DE_data\B\0007\B007_1.mat,B007_1.mat,B,0.007,1,1772,12000,DE,3
data\origin\12kHz_DE_data\B\0007\B007_2.mat,B007_2.mat,B,0.007,2,1748,12000,DE,3
data\origin\12kHz_DE_data\B\0007\B007_3.mat,B007_3.mat,B,0.007,3,1722,12000,DE,3
data\origin\12kHz_DE_data\B\0014\B014_0.mat,B014_0.mat,B,0.014,0,1796,12000,DE,3
data\origin\12kHz_DE_data\B\0014\B014_1.mat,B014_1.mat,B,0.014,1,1772,12000,DE,3
data\origin\12kHz_DE_data\B\0014\B014_2.mat,B014_2.mat,B,0.014,2,1749,12000,DE,3
data\origin\12kHz_DE_data\B\0014\B014_3.mat,B014_3.mat,B,0.014,3,1724,12000,DE,3
data\origin\12kHz_DE_data\B\0021\B021_0.mat,B021_0.mat,B,0.021,0,1796,12000,DE,3
data\origin\12kHz_DE_data\B\0021\B021_1.mat,B021_1.mat,B,0.021,1,1774,12000,DE,3
data\origin\12kHz_DE_data\B\0021\B021_2.mat,B021_2.mat,B,0.021,2,1754,12000,DE,3
data\origin\12kHz_DE_data\B\0021\B021_3.mat,B021_3.mat,B,0.021,3,1729,12000,DE,3
data\origin\12kHz_DE_data\B\0028\B028_0_(1797rpm).mat,B028_0_(1797rpm).mat,B,0.028,0,1797,12000,DE,3
data\origin\12kHz_DE_data\B\0028\B028_1_(1772rpm).mat,B028_1_(1772rpm).mat,B,0.028,1,1772,12000,DE,3
data\origin\12kHz_DE_data\B\0028\B028_2_(1750rpm).mat,B028_2_(1750rpm).mat,B,0.028,2,1750,12000,DE,3
data\origin\12kHz_DE_data\B\0028\B028_3_(1730rpm).mat,B028_3_(1730rpm).mat,B,0.028,3,1730,12000,DE,3
data\origin\12kHz_DE_data\IR\0007\IR007_0.mat,IR007_0.mat,IR,0.007,0,1797,12000,DE,2
data\origin\12kHz_DE_data\IR\0007\IR007_1.mat,IR007_1.mat,IR,0.007,1,1772,12000,DE,2
data\origin\12kHz_DE_data\IR\0007\IR007_2.mat,IR007_2.mat,IR,0.007,2,1748,12000,DE,2
data\origin\12kHz_DE_data\IR\0007\IR007_3.mat,IR007_3.mat,IR,0.007,3,1721,12000,DE,2
data\origin\12kHz_DE_data\IR\0014\IR014_0.mat,IR014_0.mat,IR,0.014,0,1796,12000,DE,2
data\origin\12kHz_DE_data\IR\0014\IR014_1.mat,IR014_1.mat,IR,0.014,1,1774,12000,DE,2
data\origin\12kHz_DE_data\IR\0014\IR014_2.mat,IR014_2.mat,IR,0.014,2,1752,12000,DE,2
data\origin\12kHz_DE_data\IR\0014\IR014_3.mat,IR014_3.mat,IR,0.014,3,1728,12000,DE,2
data\origin\12kHz_DE_data\IR\0021\IR021_0.mat,IR021_0.mat,IR,0.021,0,1797,12000,DE,2
data\origin\12kHz_DE_data\IR\0021\IR021_1.mat,IR021_1.mat,IR,0.021,1,1774,12000,DE,2
data\origin\12kHz_DE_data\IR\0021\IR021_2.mat,IR021_2.mat,IR,0.021,2,1752,12000,DE,2
data\origin\12kHz_DE_data\IR\0021\IR021_3.mat,IR021_3.mat,IR,0.021,3,1728,12000,DE,2
data\origin\12kHz_DE_data\IR\0028\IR028_0_(1797rpm).mat,IR028_0_(1797rpm).mat,IR,0.028,0,1797,12000,DE,2
data\origin\12kHz_DE_data\IR\0028\IR028_1_(1772rpm).mat,IR028_1_(1772rpm).mat,IR,0.028,1,1772,12000,DE,2
data\origin\12kHz_DE_data\IR\0028\IR028_2_(1750rpm).mat,IR028_2_(1750rpm).mat,IR,0.028,2,1750,12000,DE,2
data\origin\12kHz_DE_data\IR\0028\IR028_3_(1730rpm).mat,IR028_3_(1730rpm).mat,IR,0.028,3,1730,12000,DE,2
data\origin\12kHz_DE_data\OR\Centered\0007\OR007@6_0.mat,OR007@6_0.mat,OR,0.007,0,1796,12000,DE,1
data\origin\12kHz_DE_data\OR\Centered\0007\OR007@6_1.mat,OR007@6_1.mat,OR,0.007,1,1773,12000,DE,1
data\origin\12kHz_DE_data\OR\Centered\0007\OR007@6_2.mat,OR007@6_2.mat,OR,0.007,2,1750,12000,DE,1
data\origin\12kHz_DE_data\OR\Centered\0007\OR007@6_3.mat,OR007@6_3.mat,OR,0.007,3,1725,12000,DE,1
data\origin\12kHz_DE_data\OR\Centered\0014\OR014@6_0.mat,OR014@6_0.mat,OR,0.014,0,1796,12000,DE,1
data\origin\12kHz_DE_data\OR\Centered\0014\OR014@6_1.mat,OR014@6_1.mat,OR,0.014,1,1772,12000,DE,1
data\origin\12kHz_DE_data\OR\Centered\0014\OR014@6_2.mat,OR014@6_2.mat,OR,0.014,2,1749,12000,DE,1
data\origin\12kHz_DE_data\OR\Centered\0014\OR014@6_3.mat,OR014@6_3.mat,OR,0.014,3,1723,12000,DE,1
data\origin\12kHz_DE_data\OR\Centered\0021\OR021@6_0.mat,OR021@6_0.mat,OR,0.021,0,1796,12000,DE,1
data\origin\12kHz_DE_data\OR\Centered\0021\OR021@6_1.mat,OR021@6_1.mat,OR,0.021,1,1771,12000,DE,1
data\origin\12kHz_DE_data\OR\Centered\0021\OR021@6_2.mat,OR021@6_2.mat,OR,0.021,2,1748,12000,DE,1
data\origin\12kHz_DE_data\OR\Centered\0021\OR021@6_3.mat,OR021@6_3.mat,OR,0.021,3,1721,12000,DE,1
data\origin\12kHz_DE_data\OR\Opposite\0007\OR007@12_0.mat,OR007@12_0.mat,OR,0.007,0,1797,12000,DE,1
data\origin\12kHz_DE_data\OR\Opposite\0007\OR007@12_1.mat,OR007@12_1.mat,OR,0.007,1,1773,12000,DE,1
data\origin\12kHz_DE_data\OR\Opposite\0007\OR007@12_2.mat,OR007@12_2.mat,OR,0.007,2,1750,12000,DE,1
data\origin\12kHz_DE_data\OR\Opposite\0007\OR007@12_3.mat,OR007@12_3.mat,OR,0.007,3,1724,12000,DE,1
data\origin\12kHz_DE_data\OR\Opposite\0021\OR021@12_0.mat,OR021@12_0.mat,OR,0.021,0,1796,12000,DE,1
data\origin\12kHz_DE_data\OR\Opposite\0021\OR021@12_1.mat,OR021@12_1.mat,OR,0.021,1,1771,12000,DE,1
data\origin\12kHz_DE_data\OR\Opposite\0021\OR021@12_2.mat,OR021@12_2.mat,OR,0.021,2,1746,12000,DE,1
data\origin\12kHz_DE_data\OR\Opposite\0021\OR021@12_3.mat,OR021@12_3.mat,OR,0.021,3,1718,12000,DE,1
data\origin\12kHz_DE_data\OR\Orthogonal\0007\OR007@3_0.mat,OR007@3_0.mat,OR,0.007,0,1797,12000,DE,1
data\origin\12kHz_DE_data\OR\Orthogonal\0007\OR007@3_1.mat,OR007@3_1.mat,OR,0.007,1,1774,12000,DE,1
data\origin\12kHz_DE_data\OR\Orthogonal\0007\OR007@3_2.mat,OR007@3_2.mat,OR,0.007,2,1751,12000,DE,1
data\origin\12kHz_DE_data\OR\Orthogonal\0007\OR007@3_3.mat,OR007@3_3.mat,OR,0.007,3,1725,12000,DE,1
data\origin\12kHz_DE_data\OR\Orthogonal\0021\OR021@3_0.mat,OR021@3_0.mat,OR,0.021,0,1796,12000,DE,1
data\origin\12kHz_DE_data\OR\Orthogonal\0021\OR021@3_1.mat,OR021@3_1.mat,OR,0.021,1,1771,12000,DE,1
data\origin\12kHz_DE_data\OR\Orthogonal\0021\OR021@3_2.mat,OR021@3_2.mat,OR,0.021,2,1747,12000,DE,1
data\origin\12kHz_DE_data\OR\Orthogonal\0021\OR021@3_3.mat,OR021@3_3.mat,OR,0.021,3,1719,12000,DE,1
data\origin\12kHz_FE_data\B\0007\B007_0.mat,B007_0.mat,B,0.007,0,1798,12000,FE,3
data\origin\12kHz_FE_data\B\0007\B007_1.mat,B007_1.mat,B,0.007,1,1777,12000,FE,3
data\origin\12kHz_FE_data\B\0007\B007_2.mat,B007_2.mat,B,0.007,2,1755,12000,FE,3
data\origin\12kHz_FE_data\B\0007\B007_3.mat,B007_3.mat,B,0.007,3,1732,12000,FE,3
data\origin\12kHz_FE_data\B\0014\B014_0.mat,B014_0.mat,B,0.014,0,1796,12000,FE,3
data\origin\12kHz_FE_data\B\0014\B014_1.mat,B014_1.mat,B,0.014,1,1775,12000,FE,3
data\origin\12kHz_FE_data\B\0014\B014_2.mat,B014_2.mat,B,0.014,2,1755,12000,FE,3
data\origin\12kHz_FE_data\B\0014\B014_3.mat,B014_3.mat,B,0.014,3,1732,12000,FE,3
data\origin\12kHz_FE_data\B\0021\B021_0.mat,B021_0.mat,B,0.021,0,1796,12000,FE,3
data\origin\12kHz_FE_data\B\0021\B021_1.mat,B021_1.mat,B,0.021,1,1775,12000,FE,3
data\origin\12kHz_FE_data\B\0021\B021_2.mat,B021_2.mat,B,0.021,2,1756,12000,FE,3
data\origin\12kHz_FE_data\B\0021\B021_3.mat,B021_3.mat,B,0.021,3,1734,12000,FE,3
data\origin\12kHz_FE_data\IR\0007\IR007_0.mat,IR007_0.mat,IR,0.007,0,1796,12000,FE,2
data\origin\12kHz_FE_data\IR\0007\IR007_1.mat,IR007_1.mat,IR,0.007,1,1772,12000,FE,2
data\origin\12kHz_FE_data\IR\0007\IR007_2.mat,IR007_2.mat,IR,0.007,2,1755,12000,FE,2
data\origin\12kHz_FE_data\IR\0007\IR007_3.mat,IR007_3.mat,IR,0.007,3,1732,12000,FE,2
data\origin\12kHz_FE_data\IR\0014\IR014_0.mat,IR014_0.mat,IR,0.014,0,1796,12000,FE,2
data\origin\12kHz_FE_data\IR\0014\IR014_1.mat,IR014_1.mat,IR,0.014,1,1775,12000,FE,2
data\origin\12kHz_FE_data\IR\0014\IR014_2.mat,IR014_2.mat,IR,0.014,2,1755,12000,FE,2
data\origin\12kHz_FE_data\IR\0014\IR014_3.mat,IR014_3.mat,IR,0.014,3,1733,12000,FE,2
data\origin\12kHz_FE_data\IR\0021\IR021_0.mat,IR021_0.mat,IR,0.021,0,1796,12000,FE,2
data\origin\12kHz_FE_data\IR\0021\IR021_1.mat,IR021_1.mat,IR,0.021,1,1776,12000,FE,2
data\origin\12kHz_FE_data\IR\0021\IR021_2.mat,IR021_2.mat,IR,0.021,2,1758,12000,FE,2
data\origin\12kHz_FE_data\IR\0021\IR021_3.mat,IR021_3.mat,IR,0.021,3,1737,12000,FE,2
data\origin\12kHz_FE_data\OR\Centered\0007\OR007@6_0.mat,OR007@6_0.mat,OR,0.007,0,1797,12000,FE,1
data\origin\12kHz_FE_data\OR\Centered\0007\OR007@6_1.mat,OR007@6_1.mat,OR,0.007,1,1776,12000,FE,1
data\origin\12kHz_FE_data\OR\Centered\0007\OR007@6_2.mat,OR007@6_2.mat,OR,0.007,2,1756,12000,FE,1
data\origin\12kHz_FE_data\OR\Centered\0007\OR007@6_3.mat,OR007@6_3.mat,OR,0.007,3,1733,12000,FE,1
data\origin\12kHz_FE_data\OR\Centered\0014\OR014@6_0.mat,OR014@6_0.mat,OR,0.014,0,1797,12000,FE,1
data\origin\12kHz_FE_data\OR\Centered\0021\OR021@6_0.mat,OR021@6_0.mat,OR,0.021,0,1797,12000,FE,1
data\origin\12kHz_FE_data\OR\Opposite\0007\OR007@12_0.mat,OR007@12_0.mat,OR,0.007,0,1797,12000,FE,1
data\origin\12kHz_FE_data\OR\Opposite\0007\OR007@12_1.mat,OR007@12_1.mat,OR,0.007,1,1775,12000,FE,1
data\origin\12kHz_FE_data\OR\Opposite\0007\OR007@12_2.mat,OR007@12_2.mat,OR,0.007,2,1755,12000,FE,1
data\origin\12kHz_FE_data\OR\Opposite\0007\OR007@12_3.mat,OR007@12_3.mat,OR,0.007,3,1733,12000,FE,1
data\origin\12kHz_FE_data\OR\Orthogonal\0007\OR007@3_0.mat,OR007@3_0.mat,OR,0.007,0,1797,12000,FE,1
data\origin\12kHz_FE_data\OR\Orthogonal\0007\OR007@3_1.mat,OR007@3_1.mat,OR,0.007,1,1776,12000,FE,1
data\origin\12kHz_FE_data\OR\Orthogonal\0007\OR007@3_2.mat,OR007@3_2.mat,OR,0.007,2,1755,12000,FE,1
data\origin\12kHz_FE_data\OR\Orthogonal\0007\OR007@3_3.mat,OR007@3_3.mat,OR,0.007,3,1733,12000,FE,1
data\origin\12kHz_FE_data\OR\Orthogonal\0014\OR014@3_0.mat,OR014@3_0.mat,OR,0.014,0,1796,12000,FE,1
data\origin\12kHz_FE_data\OR\Orthogonal\0014\OR014@3_1.mat,OR014@3_1.mat,OR,0.014,1,1774,12000,FE,1
data\origin\12kHz_FE_data\OR\Orthogonal\0014\OR014@3_2.mat,OR014@3_2.mat,OR,0.014,2,1752,12000,FE,1
data\origin\12kHz_FE_data\OR\Orthogonal\0014\OR014@3_3.mat,OR014@3_3.mat,OR,0.014,3,1728,12000,FE,1
data\origin\12kHz_FE_data\OR\Orthogonal\0021\OR021@3_1.mat,OR021@3_1.mat,OR,0.021,1,1773,12000,FE,1
data\origin\12kHz_FE_data\OR\Orthogonal\0021\OR021@3_2.mat,OR021@3_2.mat,OR,0.021,2,1751,12000,FE,1
data\origin\12kHz_FE_data\OR\Orthogonal\0021\OR021@3_3.mat,OR021@3_3.mat,OR,0.021,3,1728,12000,FE,1
data\origin\48kHz_DE_data\B\0007\B007_0.mat,B007_0.mat,B,0.007,0,1796,48000,DE,3
data\origin\48kHz_DE_data\B\0007\B007_1.mat,B007_1.mat,B,0.007,1,1772,48000,DE,3
data\origin\48kHz_DE_data\B\0007\B007_2.mat,B007_2.mat,B,0.007,2,1747,48000,DE,3
